L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
19184,80,6,1,838454,134133,945,152,16,152,65,10074,5983,4091,245,255,696,160,378,1227,13314.77069684336,83229.50168751241,1399,31,1161,78,14453.552467683963,90347.92989599497,164,317,224,211,180,51232,56584,0,0,1969.0,28,21048,426.0,0,Benign
52927,21059,6,0,390,40,5,1,2,2,18,55,25,30,121,128,1089,207,498,835,727.2727272727273,7090.909090909091,45590,332,21408,1905,663.0802649248502,6465.03258301729,0,2,0,2,0,5028,23192,0,0,12394.0,1,39138,530.0,1,PortScan
23249,22,6,4,2218164,2667232,14219,9806,16,163,196,47428,32405,15023,116,128,737,143,244,1038,56237.49683731129,46769.08155519946,663408,8566,600292,6779,51314.00263546525,42674.53050274372,10000,2502,2650,1496,4055,16219,24266,0,0,62300.0,1,36449,426.0,1,BruteForce
10293,443,6,2,1139628,467748,1659,397,25,252,85,57355,25853,31502,28,32,992,204,789,969,8155.31339900619,19869.723650945863,8610,176,1009,38,8430.937956742286,20541.259314345112,50,945,237,140,680,58519,600,0,0,55785.0,2,63692,425.0,0,Benign
24819,80,6,1,4819118,2576762,4864,2689,2,104,154,5101,2555,2546,58,64,976,336,783,1356,505148.4022740639,944739.854930406,102,140,7062,135,469622.02400989085,878297.626673514,145,5121,2027,132,126,30080,16293,0,0,37838.0,28,70484,430.0,0,Benign
1886,4444,17,0,989538,10000000,1363,15929,16,102,168,109111,73325,35786,103,128,563,119,739,1092,91649.78783074116,9069.094775045596,44370,3676,48376,1894,88631.92845912662,8770.466122358723,4408,662,1390,5456,5374,0,0,0,0,2722.0,28,26970,230.0,1,Malware
5866,53,17,3,3506,1224,28,16,0,0,0,171,76,95,241,255,731,104,79,927,7157.894736842105,20502.923976608185,530,149,2615,103,7621.667986556398,21831.346373257133,25,2,0,6,8,0,0,0,0,16044.0,1,64991,331.0,0,Benign
17062,22,6,4,4399404,3753960,11166,15260,16,96,29,15764,6970,8794,252,255,1051,425,784,1458,238134.9911190053,279079.16772392794,717223,2849,582680,7124,222137.99533746424,260331.69912295855,1223,2890,6734,10000,3704,54127,17852,0,0,59741.0,5,16149,200.0,1,BruteForce
36465,80,6,1,2719905,1484998,5422,1669,25,209,43,31543,20953,10590,63,64,555,202,699,1058,47078.52772405922,86228.48175506452,2775,92,6183,135,49706.51502439852,91041.8726135905,1121,823,1312,1881,1952,41549,62646,0,0,35682.0,1,49382,425.0,0,Benign
58223,53,6,2,4092948,2952768,49914,18928,2,2,18,3786,1513,2273,230,255,815,232,616,1356,779917.591125198,1081074.4849445324,525766,9746,43523,6678,734549.5826827011,1018188.1019240238,10000,10000,5688,10000,906,59393,52742,0,0,3703.0,1,77282,331.0,1,DDoS
34874,80,6,1,4410155,1703967,6913,1654,18,114,164,29659,19862,9797,64,64,1337,312,532,1179,57451.93701743148,148695.33699720152,976,108,2364,167,55405.21082045136,143398.0631818971,2234,2940,1347,579,1465,41353,10314,0,0,62477.0,2,78595,220.0,0,Benign
29060,54551,6,0,830,189,5,1,2,2,0,224,99,125,120,128,518,295,723,1383,843.75,3705.357142857143,184521,4885,174833,4442,869.7727863865966,3819.637104237435,3,0,0,0,0,55911,59670,0,0,22586.0,2,56210,220.0,1,PortScan
10845,443,6,2,1206359,2002698,1396,4256,2,188,112,32051,15062,16989,125,128,935,392,590,1456,62484.727465601696,37638.73202084178,6278,63,8477,87,59931.43300036872,36100.71193105091,4321,104,803,115,307,20260,24474,0,0,16518.0,1,38216,426.0,0,Benign
14401,53,17,3,2510,1837,27,20,0,0,0,169,102,67,127,128,1053,119,415,1459,10869.8224852071,14852.071005917158,8581,48,6397,58,11780.212211364911,16095.9894668078,0,15,17,8,5,0,0,0,0,24667.0,1,21266,230.0,0,Benign
56340,22,6,4,2489279,2959155,2138,3933,18,185,206,561695,378639,183056,248,255,1103,459,37,1168,5268.259464656086,4431.727182901753,5966,155,1967,13,5521.829333219828,4645.033396617657,1075,272,2067,2401,253,5901,32990,0,0,53829.0,28,58512,425.0,0,Benign
64953,21,6,5,2833818,1837984,2508,1535,2,82,9,108079,34273,73806,124,128,1102,138,587,1153,17005.930846880525,26219.8762016673,9306,116,2602,158,18701.66098848353,28834.366098433075,200,192,590,2484,575,10883,37222,0,0,,1,17257,,0,Benign
46550,8080,17,2,8763250,4623922,35053,18422,2,2,18,3226,1070,2156,62,64,827,333,172,1140,1433329.8202107877,2716444.5133292004,72467,1613,205871,2115,1426951.8854457077,2704357.060982451,4491,10000,255,10000,877,0,0,0,0,33293.0,1,62813,430.0,1,DDoS
12278,25,6,6,600146,805629,636,900,2,234,85,168227,52194,116033,118,128,908,242,714,1117,4788.939944242006,3567.47727772593,9664,145,1608,144,5201.52095341858,3874.8257499548154,325,567,260,120,261,59389,35134,0,0,28068.0,5,12624,220.0,0,Benign
24409,22,6,4,2206760,1711271,2029,1780,25,211,49,525202,290770,234432,55,64,974,230,486,1153,3258.310135909612,4201.735713116096,94,182,931,140,3507.975457407213,4523.690239820544,1401,756,636,743,270,54246,15875,0,0,31000.0,5,33491,530.0,0,Benign
56300,25,6,6,612124,169301,794,305,2,74,15,67268,22821,44447,115,128,700,126,541,1290,2516.813343640364,9099.779984539457,9568,57,827,61,2763.393253298583,9991.31329278706,188,34,398,348,129,60083,27846,0,0,23488.0,1,74914,226.0,0,Benign
23811,80,6,1,2221430,2769079,4757,4010,16,116,10,46961,21890,25071,118,128,999,500,195,964,58965.503289964014,47303.72010817487,7691,96,9239,101,53717.68979771496,43093.782317997415,291,282,238,5292,2661,30808,5716,0,0,45144.0,1,14327,331.0,0,Benign
33926,21,6,5,5969701,5808038,7123,13733,16,179,244,122132,66358,55774,241,255,808,113,287,1359,47555.41545213376,48879.08983722529,8721,61,6783,94,48948.8552369477,50311.31512170924,3086,10000,964,1447,3107,3698,38435,0,0,60854.0,1,78002,430.0,0,Benign
57700,22,6,4,938823,1272538,1265,1074,18,107,119,444806,265533,179273,255,255,1099,473,670,1338,2860.8831715399524,2110.634748631988,9455,171,4528,129,2876.0385431882514,2121.815720419841,980,642,103,176,434,18281,15366,0,0,53009.0,1,2236,220.0,0,Benign
44535,80,6,1,946080,1360048,972,1851,16,30,228,54171,22975,31196,59,64,1263,175,743,811,25106.569935943586,17464.695132081742,6732,146,9962,178,25501.302930902733,17739.280287804886,799,176,1284,200,362,58616,16337,0,0,48965.0,1,49940,530.0,0,Benign
46637,5555,6,1,10000000,10000000,12513,12498,16,242,61,16573,8373,8200,252,255,823,351,507,1316,603391.0577445242,603391.0577445242,47484,4705,159198,4683,637710.3872220895,637710.3872220895,4891,4221,2879,10000,1056,21305,31322,0,0,5827.0,2,18565,226.0,1,Malware
12967,53,17,3,1111,1770,12,27,0,0,0,144,88,56,253,255,1078,219,552,1270,12291.666666666668,7715.277777777778,952,136,2318,117,12550.684964930331,7877.859319795254,5,14,8,7,3,0,0,0,0,43936.0,5,9935,230.0,0,Benign
38989,80,6,1,757640,1589940,12220,5445,2,2,18,541,187,354,39,64,577,450,126,1057,2938890.942698706,1400443.6229205176,739209,7959,384035,5910,3068151.8571604625,1462039.1795030334,581,7320,3077,2092,4593,20761,64091,0,0,24715.0,2,78576,430.0,1,DDoS
34897,21,6,5,1228280,3182795,2639,2788,16,254,44,245723,73972,171751,246,255,795,261,290,1476,12952.77609340599,4998.636676257412,643,92,8830,56,14223.17845181896,5488.90067654379,328,1564,1375,1317,840,49959,9694,0,0,,1,2223,,0,Benign
24196,443,6,2,2373894,2449815,3295,3210,2,14,70,34898,12796,22102,126,128,1228,461,468,994,70199.29508854375,68023.78359791392,8694,57,2593,18,76430.87350285222,74062.24226040738,246,160,508,4159,1428,42287,44866,0,0,,28,27119,,0,Benign
57692,53,17,3,1570,559,25,10,0,0,0,259,79,180,27,32,697,197,37,970,2158.301158301158,6061.776061776061,2086,75,5192,92,2364.250565110244,6640.202839397287,4,22,3,0,2,0,0,0,0,60606.0,5,11137,331.0,0,Benign
31939,443,6,2,150083,2409781,228,4261,18,117,136,11149,6818,4331,115,128,644,362,229,1086,216143.24154632704,13461.5660597363,7114,53,9116,41,207440.2444963376,12919.536760703082,570,596,1991,375,954,65439,48412,0,0,24726.0,1,22514,226.0,0,Benign
30633,443,6,2,4489881,2273489,6623,2224,18,144,152,57241,26431,30810,255,255,953,96,407,952,39717.84210618263,78438.19989168603,4356,153,4788,141,40777.56749983833,80531.03645706737,2502,1,3633,167,2541,55766,24262,0,0,,1,52147,,0,Benign
22758,443,6,2,3913222,2411199,3544,4182,18,74,77,6721,3536,3185,248,255,1145,169,487,1436,358755.9886921589,582238.0598125278,9191,82,4875,52,394142.47458752576,639668.0666715384,223,2888,771,101,3741,51650,61913,0,0,7952.0,1,34761,230.0,0,Benign
36150,21,6,5,971338,350163,6653,2673,2,67,254,51892,35862,16030,247,255,1021,101,124,1124,6747.9187543359285,18718.45371155477,343004,1329,163774,5693,7320.505231763897,20306.785442239987,494,565,247,7618,400,4627,38922,0,0,6398.0,5,22336,430.0,1,BruteForce
40597,443,6,2,2115195,2751308,1931,3633,16,216,111,50926,29345,21581,124,128,857,94,416,834,54025.60578093705,41534.67776774143,5427,62,6936,35,58694.01775701078,45123.73492518482,77,378,1855,322,2930,18908,56024,0,0,43351.0,2,5810,226.0,0,Benign
31732,4444,6,0,10000000,5484771,10084,5591,16,182,32,68511,27316,41195,47,64,1483,231,58,1288,80056.79379953585,145961.96231262133,63455,3515,90940,2895,76541.27615313996,139552.36445266346,2290,2871,2049,3702,4761,53601,61465,0,0,22050.0,1,38654,331.0,1,Malware
37071,80,6,1,2451030,2135573,2407,4835,16,144,16,42285,28340,13945,24,32,911,162,777,1126,50504.26865318672,57964.52642781129,475,1,7834,199,53861.9329799982,61818.16945239755,1351,377,3918,441,1153,52413,64758,0,0,3902.0,1,20107,426.0,0,Benign
30540,80,6,1,2554115,1424225,3621,2319,16,63,168,44718,29318,15400,56,64,994,261,413,1403,31849.031709826017,57116.03828435976,7651,181,9787,134,33631.745401531654,60313.04422140675,831,475,997,255,3380,31863,21949,0,0,16854.0,1,79971,226.0,0,Benign
24877,22,6,4,1217346,2525411,1216,2341,16,205,105,477747,186554,291193,55,64,1292,368,111,1347,5286.084475674363,2548.097633266143,3633,82,7136,196,5814.404520791712,2802.768375431844,873,1403,478,125,675,29952,57932,0,0,23382.0,2,17439,331.0,0,Benign
4158,53,6,1,10000000,548856,41116,7128,2,2,18,3701,2046,1655,41,64,932,338,348,1200,148299.37854633882,2701972.4398811134,202804,6732,145134,5526,155700.94512809275,2836826.874956141,10000,4167,10000,10000,2975,38290,26195,0,0,58691.0,2,42998,230.0,1,DDoS
17122,443,6,2,4716243,1433108,9867,1728,2,124,128,30040,18603,11437,126,128,853,84,651,869,47706.65778961385,156998.76830892146,2435,192,2150,65,44888.54837909095,147724.5972202019,2199,2759,2467,1618,2550,31137,54355,0,0,,1,64255,,0,Benign
13910,21,6,5,4454624,923602,5362,898,2,113,206,208174,76290,131884,124,128,594,395,740,1259,4436.68277498631,21398.56081931461,1724,108,1624,19,4675.0531860357305,22548.244940776684,203,1721,1011,2374,949,65373,57534,0,0,9109.0,1,24278,331.0,0,Benign
4224,80,6,1,14951,1707684,16,1874,25,16,6,21255,12258,8997,17,32,532,389,289,1172,80342.69583627382,703.4109621265585,7944,179,5886,153,86220.72050948445,754.8738480522754,334,893,199,450,13,22730,30063,0,0,46139.0,5,33318,530.0,0,Benign
24038,443,6,2,4134253,1799937,8288,2217,16,41,77,34268,15945,18323,248,255,1362,103,657,1323,52525.30057196218,120644.71226800514,9756,53,8377,169,52976.83746641673,121681.84176782065,1330,475,3282,2417,2998,921,37492,0,0,15334.0,1,45510,425.0,0,Benign
23721,443,6,2,1315001,1638430,2344,1613,16,176,114,32248,17146,15102,56,64,629,367,455,1162,50807.18184073432,40777.75365914166,225,46,9217,170,51438.66810514373,41284.58341029652,725,920,450,1143,716,34645,32287,0,0,60604.0,1,12787,200.0,0,Benign
15508,80,6,1,3508578,1306679,7749,1150,16,120,85,6533,2863,3670,32,32,798,333,587,1135,200012.09245369665,537054.645645186,1802,163,118,132,211348.56500387212,567494.3314342357,1240,546,477,3369,3264,2122,15934,0,0,42131.0,5,36768,430.0,0,Benign
38429,21,6,5,1345417,5214197,3339,5777,2,113,225,226708,112042,114666,62,64,1096,121,229,1164,22999.61624644917,5934.58104698555,5523,139,4231,19,25115.88950168225,6480.642121056191,1213,976,4548,1451,926,57988,37773,0,0,26758.0,28,5268,530.0,0,Benign
13054,11177,6,0,387,402,3,3,2,2,0,433,280,153,126,128,759,333,390,1463,928.406466512702,893.7644341801386,88985,1917,109099,4210,1003.4804483382125,966.037148027085,1,1,1,0,1,45378,2271,0,0,64039.0,2,29439,200.0,1,PortScan
5295,80,6,1,3027671,325542,6083,372,18,166,243,9181,3581,5600,30,32,1487,470,249,1126,35458.22895109466,329775.73249101406,5513,113,3587,33,36263.81101220013,337267.96834546374,119,2528,198,1996,1611,63860,42937,0,0,2356.0,1,48208,426.0,0,Benign
38590,21,6,5,825831,2246865,904,5440,25,27,88,2198643,1421307,777336,242,255,1001,383,707,879,1021.9326193474792,375.6094099860687,150951,164,124672,1966,948.4849210897726,348.6138467903003,2064,2385,329,805,759,39517,42084,0,0,13696.0,1,26251,200.0,1,DataExfiltration
27815,443,6,2,547241,1971611,1019,1874,18,184,211,56702,21570,35132,121,128,783,221,590,986,34771.454269690665,9651.176325350076,1704,84,4508,50,35540.24286784424,9864.561542435067,1240,339,225,910,176,38172,3503,0,0,24846.0,28,77933,426.0,0,Benign
37568,80,6,1,1855154,2461409,2756,2139,16,31,181,45661,26840,18821,249,255,925,166,187,1033,53906.15623836534,40628.851755327305,8981,67,7162,24,50563.33993837734,38109.38464108991,421,187,1592,592,2101,26708,31922,0,0,9017.0,2,41217,430.0,0,Benign
43217,80,6,1,4829492,221212,4116,191,18,239,221,14908,4968,9940,27,32,1097,455,588,1096,14838.47598604776,323953.04534478136,8944,74,408,184,15083.426678610058,329300.799581098,273,1631,1,7,2392,38931,53667,0,0,45251.0,1,76254,220.0,0,Benign
52259,53,17,3,1589,1003,16,13,0,0,0,371,242,129,24,32,763,259,273,1253,2703.504043126685,4283.018867924528,2925,0,127,174,2534.1321852168944,4014.691966410414,7,6,1,4,8,0,0,0,0,47825.0,1,47072,220.0,0,Benign
57716,53,17,3,3954,521,36,4,0,0,0,259,177,82,20,32,1114,430,485,1446,2011.5830115830115,15266.409266409266,273,145,8418,31,2189.4382332910545,16616.19726378662,5,18,8,4,2,0,0,0,0,49046.0,15,5137,425.0,0,Benign
46642,3389,6,0,687055,737887,745,900,16,37,34,14750,8975,5775,58,64,770,366,35,1191,50026.23728813559,46580.0,3049,16,8926,148,51698.68243718266,48137.23274956536,424,18,298,845,57,12119,46119,0,0,48117.0,1,79452,530.0,0,Benign
37210,443,6,2,2875218,1973190,6171,1972,18,168,125,59362,27826,31536,61,64,593,449,459,1498,33239.95148411442,48435.32899834911,1114,132,8933,133,36333.18121739329,52942.60392233444,1629,1013,2494,2405,598,50173,58395,0,0,,1,66141,,0,Benign
65396,6661,6,0,980,588,5,3,2,2,0,415,181,234,109,128,570,339,359,872,1416.8674698795182,2361.4457831325303,25272,3687,142859,1306,1540.4239311013846,2567.3732185023077,2,0,0,1,2,60500,19083,0,0,46050.0,1,17178,220.0,1,PortScan
61358,80,6,1,2029353,409373,2753,614,2,241,49,18383,7333,11050,17,32,600,176,158,1182,22269.10732742208,110392.9173693086,5913,1,8431,166,24123.067215788567,119583.4088314622,720,77,474,338,1755,34606,60875,0,0,36701.0,1,9600,230.0,0,Benign
2594,25,6,6,40979,671196,82,1070,18,43,202,233684,90193,143491,118,128,1051,442,613,809,2872.2377227366874,175.36074356823744,5347,70,2548,139,3081.7410165279757,188.15169505822425,404,60,51,505,129,63325,30104,0,0,41570.0,15,52911,220.0,0,Benign
3208,443,17,0,10000000,5693500,38016,29500,2,2,0,759,286,473,39,64,767,304,344,1135,7501317.523056653,13175230.566534914,570960,5855,220711,1608,7781147.625383833,13666721.042212756,10000,10000,9663,10000,5370,0,0,0,0,59499.0,1,9808,530.0,1,DDoS
27019,21,1,5,2228767,1023716,2161,2195,0,0,0,10301,5808,4493,255,255,1088,91,402,1448,99380.25434423842,216364.13940394137,9438,159,4839,99,90128.29737035476,196221.3884956701,1629,97,905,172,1551,0,0,0,0,19494.0,1,71019,220.0,0,Benign
22320,443,6,1,7129056,5240125,41448,19055,2,2,0,2420,1038,1382,250,255,1178,357,737,1087,2165340.909090909,2945890.909090909,833806,7650,329268,4739,1956318.0468381369,2661520.6526026954,10000,2403,649,3111,10000,59313,3712,0,0,64623.0,1,57405,530.0,1,DDoS
25763,80,6,1,2897866,2158251,4644,3188,2,106,73,58016,24908,33108,24,32,1396,219,604,935,37200.96180364038,49949.4277440706,2910,137,167,133,34294.62340311955,46047.110897993065,625,1044,1795,3501,864,59599,46546,0,0,50246.0,5,54136,426.0,0,Benign
22423,53,17,3,3421,767,36,11,0,0,0,56,26,30,243,255,1202,264,411,1051,13696.42857142857,61089.28571428571,1361,170,7534,157,13485.039422207428,60146.440499832606,26,1,0,14,4,0,0,0,0,33.0,1,26766,530.0,0,Benign
4459,443,6,2,238928,2306717,274,4828,2,80,165,52362,32880,19482,246,255,984,132,56,1343,44053.26381727207,4563.003704976892,92,139,2237,124,44805.59260072581,4640.929350633916,1219,585,1990,1158,147,35253,3872,0,0,16718.0,28,75456,200.0,0,Benign
9601,80,6,1,3915549,2776115,5554,3588,18,15,67,21996,10818,11178,17,32,1494,219,446,1071,126209.9927259502,178011.8657937807,5924,24,7167,64,125442.25441141595,176929.0154832798,2783,1225,2642,1875,614,23599,53832,0,0,18462.0,5,27457,425.0,0,Benign
7115,22,6,4,1983088,2644394,3129,2387,16,128,32,227571,112128,115443,31,32,990,83,181,1474,11620.083402542505,8714.150748557593,8654,116,3284,49,12651.217938518665,9487.420739595196,1899,1098,1253,163,1100,30442,53642,0,0,22401.0,1,45041,430.0,0,Benign
2157,80,6,1,671983,1029380,1545,1381,16,33,191,56736,22399,34337,240,255,1168,220,330,1273,18143.33051325437,11844.03200789622,9334,112,4552,87,19676.26756549215,12844.738879191464,745,781,502,358,538,17976,45450,0,0,,1,56119,,0,Benign
41968,443,6,2,1080587,340306,1798,384,2,151,132,22425,9228,13197,19,32,1094,196,177,1338,15175.295429208472,48186.71125975474,2188,191,8665,53,15303.124994028543,48592.613494685145,613,106,460,525,475,7447,33777,0,0,,1,63731,,0,Benign
29711,39089,6,0,376,528,8,6,2,2,0,187,124,63,238,255,856,120,39,1296,2823.529411764706,2010.6951871657757,18707,3204,131948,2933,3022.727853801123,2152.548623161406,3,0,2,4,3,26387,5010,0,0,49589.0,1,32914,331.0,1,PortScan
42297,80,6,1,3766383,2250778,6287,2341,18,47,18,37890,16239,21651,56,64,1283,348,701,1298,59402.95592504618,99403.08788598576,6540,24,8724,81,62026.55988017894,103793.34642563062,1463,456,2310,3255,1142,24846,20885,0,0,28634.0,2,43575,426.0,0,Benign
33768,80,6,1,391146,1014778,813,1114,16,61,151,11512,6807,4705,52,64,1235,429,788,856,88149.5830437804,33977.24113968033,2466,96,3927,76,94537.05693956865,36439.29181918067,370,309,446,659,141,8607,1061,0,0,37542.0,1,11178,331.0,0,Benign
60307,21,6,5,2925499,129619,5994,183,25,28,144,164330,111246,53084,253,255,1451,316,154,994,788.7725917361406,17802.586259356172,7689,128,2714,81,792.7742571994052,17892.903792365338,2789,751,148,457,2029,35267,51220,0,0,50148.0,1,38667,220.0,0,Benign
1790,53673,6,0,300,424,3,4,2,2,0,542,286,256,38,64,771,177,39,992,782.2878228782288,553.5055350553505,138772,4165,180142,1595,848.3637217590056,600.2573503011831,0,0,1,1,3,29439,54142,0,0,7051.0,2,15093,530.0,1,PortScan
58647,3389,6,7,1729153,1792345,3164,2971,2,248,119,135367,92242,43125,117,128,1347,356,216,818,13240.634718949228,12773.81488841446,2636,34,7036,122,13358.699591322476,12887.717194197565,1123,340,904,2572,1194,41744,16220,0,0,7235.0,28,61104,331.0,0,Benign
11360,80,6,1,571951,2439788,568,5924,16,191,11,28289,9282,19007,52,64,844,121,513,828,86245.11294142599,20218.14132701757,4912,190,758,73,89984.65131962717,21094.7882795194,3266,61,60,3047,56,17295,41274,0,0,30488.0,1,44290,426.0,0,Benign
43022,80,6,1,1404710,1370452,2178,1490,2,42,1,56129,25830,30299,240,255,824,421,619,1459,24416.112882823498,25026.456911756846,6206,100,162,119,22553.7989965522,23117.589662714807,356,333,705,2204,67,22301,28094,0,0,40577.0,5,3309,220.0,0,Benign
